Date,Hebrew Date,לימוד,חזרה
"Mon, Nov 27, 2023",י״ד כסלו ה׳תשפ״ד,.ו,.ב Top
"Tue, Nov 28, 2023",ט״ו כסלו ה׳תשפ״ד,,.ב Bottom
"Wed, Nov 29, 2023",ט״ז כסלו ה׳תשפ״ד,,:ב Top
"Thu, Nov 30, 2023",י״ז כסלו ה׳תשפ״ד,,:ב Bottom
"Fri, Dec 1, 2023",י״ח כסלו ה׳תשפ״ד,,.ג Top
"Sat, Dec 2, 2023",י״ט כסלו ה׳תשפ״ד,,.ג Bottom
"Sun, Dec 3, 2023",כ׳ כסלו ה׳תשפ״ד,,:ג Top
"Mon, Dec 4, 2023",כ״א כסלו ה׳תשפ״ד,:ו,:ג Bottom
"Tue, Dec 5, 2023",כ״ב כסלו ה׳תשפ״ד,,.ד Top
"Wed, Dec 6, 2023",כ״ג כסלו ה׳תשפ״ד,,.ד Bottom
"Thu, Dec 7, 2023",כ״ד כסלו ה׳תשפ״ד,,:ד Top
"Fri, Dec 8, 2023",כ״ה כסלו ה׳תשפ״ד,,:ד Bottom
"Sat, Dec 9, 2023",כ״ו כסלו ה׳תשפ״ד,,.ה Top
"Sun, Dec 10, 2023",כ״ז כסלו ה׳תשפ״ד,,.ה Bottom
"Mon, Dec 11, 2023",כ״ח כסלו ה׳תשפ״ד,.ז,:ה Top
"Tue, Dec 12, 2023",כ״ט כסלו ה׳תשפ״ד,,:ה Bottom
"Wed, Dec 13, 2023",א׳ טבת ה׳תשפ״ד,,.ו Top
"Thu, Dec 14, 2023",ב׳ טבת ה׳תשפ״ד,,.ו Bottom
"Fri, Dec 15, 2023",ג׳ טבת ה׳תשפ״ד,,OFF
"Sat, Dec 16, 2023",ד׳ טבת ה׳תשפ״ד,,:ו Top
"Sun, Dec 17, 2023",ה׳ טבת ה׳תשפ״ד,,:ו Bottom
"Mon, Dec 18, 2023",ו׳ טבת ה׳תשפ״ד,:ז,.ז Top
"Tue, Dec 19, 2023",ז׳ טבת ה׳תשפ״ד,,.ז Bottom
"Wed, Dec 20, 2023",ח׳ טבת ה׳תשפ״ד,,.ב Top
"Thu, Dec 21, 2023",ט׳ טבת ה׳תשפ״ד,,.ב Bottom
"Fri, Dec 22, 2023",י׳ טבת ה׳תשפ״ד,,:ב Top
"Sat, Dec 23, 2023",י״א טבת ה׳תשפ״ד,,:ב Bottom
"Sun, Dec 24, 2023",י״ב טבת ה׳תשפ״ד,,.ג Top
"Mon, Dec 25, 2023",י״ג טבת ה׳תשפ״ד,.ח,.ג Bottom
"Tue, Dec 26, 2023",י״ד טבת ה׳תשפ״ד,,:ג Top
"Wed, Dec 27, 2023",ט״ו טבת ה׳תשפ״ד,,:ג Bottom
"Thu, Dec 28, 2023",ט״ז טבת ה׳תשפ״ד,,.ד Top
"Fri, Dec 29, 2023",י״ז טבת ה׳תשפ״ד,,.ד Bottom
"Sat, Dec 30, 2023",י״ח טבת ה׳תשפ״ד,,:ד Top
"Sun, Dec 31, 2023",י״ט טבת ה׳תשפ״ד,,:ד Bottom
"Mon, Jan 1, 2024",כ׳ טבת ה׳תשפ״ד,:ח,.ה Top
"Tue, Jan 2, 2024",כ״א טבת ה׳תשפ״ד,,.ה Bottom
"Wed, Jan 3, 2024",כ״ב טבת ה׳תשפ״ד,,:ה Top
"Thu, Jan 4, 2024",כ״ג טבת ה׳תשפ״ד,,:ה Bottom
"Fri, Jan 5, 2024",כ״ד טבת ה׳תשפ״ד,,.ו Top
"Sat, Jan 6, 2024",כ״ה טבת ה׳תשפ״ד,,.ו Bottom
"Sun, Jan 7, 2024",כ״ו טבת ה׳תשפ״ד,,:ו Top
"Mon, Jan 8, 2024",כ״ז טבת ה׳תשפ״ד,.ט,:ו Bottom
"Tue, Jan 9, 2024",כ״ח טבת ה׳תשפ״ד,,.ז Top
"Wed, Jan 10, 2024",כ״ט טבת ה׳תשפ״ד,,.ז Bottom
"Thu, Jan 11, 2024",א׳ שבט ה׳תשפ״ד,,:ז Top
